Date,iOS,BlackBerry OS,SymbianOS,Windows Phone,Other,Android
2008-12,56.64,0,8.75,0,34.61,0
2009-01,59.8,2.1,6.17,0,30.38,1.55
2009-02,60.83,12.38,3.73,0,18.24,4.82
2009-03,62.84,12.72,3.29,0,16.29,4.86
2009-04,64.75,13.25,3,0,14.66,4.34
2009-05,61.75,15.32,3.42,0,14.93,4.58
2009-06,61.57,17.92,3.82,0,16.42,0.27
2009-07,57.99,18.3,1.87,0,17.13,4.71
2009-08,58.96,16.07,2.21,0,17.83,4.93
2009-09,56.74,16.32,3.55,0,18.08,5.31
2009-10,57.22,16.58,3.04,0,17.01,6.15
2009-11,53.23,21.23,3,0,15.1,7.44
2009-12,54.52,17.77,3.02,0,15.14,9.55
2010-01,55.09,18.02,3.15,0,13.16,10.58
2010-02,52.25,21.92,2.49,0,11.77,11.57
2010-03,47.07,26.14,2.46,0,11.21,13.12
2010-04,44.87,27.88,2.51,0,12.56,12.18
2010-05,44.29,27.95,2.45,0,16.45,8.86
2010-06,41.81,29.17,2.68,0,17.55,8.79
2010-07,39.46,30.22,3.11,0,11.71,15.5
2010-08,37.98,31.8,3.08,0,9.51,17.63
2010-09,38.5,27.28,3.34,0,9.62,21.26
2010-10,36.53,29.66,3.39,0,9.02,21.4
2010-11,34.39,31.93,3.21,0,8.58,21.89
2010-12,35.03,29.93,3.09,0,8.43,23.52
2011-01,36.42,26.05,4.75,0.22,8,24.56
2011-02,37.53,22.18,5.65,0.44,7.78,26.42
2011-03,39.34,19.8,4.3,0.5,7.66,28.4
2011-04,36.69,21.74,6.18,0.51,7.75,27.13
2011-05,33.31,21.78,8.45,0.47,7.94,28.05
2011-06,34.29,16.42,10.93,0.48,7.92,29.96
2011-07,36.38,15.71,8.47,0.54,7.78,31.12
2011-08,36.86,14.34,6.6,0.62,6.79,34.79
2011-09,38.84,12.72,5.8,0.72,6.46,35.46
2011-10,41.03,10.72,5.25,0.79,6.22,35.99
2011-11,42.99,9.43,5.91,0.75,5.07,35.85
2011-12,41.77,8.82,5.96,0.72,5.22,37.51
2012-01,44.29,7.52,4.03,0.72,4.81,38.63
2012-02,46.15,7.05,3.39,0.76,3.92,38.73
2012-03,46.84,7.21,3.03,0.82,4.14,37.96
2012-04,47.38,6.39,2.49,0.87,4.59,38.28
2012-05,47.17,6.14,1.08,1,6.31,38.3
2012-06,48.78,5.52,0.94,0.97,6.24,37.55
2012-07,49.12,4.91,0.76,1.17,5.74,38.3
2012-08,49.1,4.5,0.67,1.22,5.6,38.91
2012-09,49.22,4.18,0.65,1.25,5.32,39.38
2012-10,49.65,3.81,0.82,1.14,5.77,38.81
2012-11,49.54,3.44,0.87,1.14,6.31,38.7
2012-12,49.35,2.95,0.97,1.19,6.23,39.31
2013-01,51.19,2.74,0.81,1.25,5.27,38.74
2013-02,51.95,2.65,0.72,1.29,5.17,38.22
2013-03,51.07,2.47,0.72,1.4,4.92,39.42
2013-04,51.74,2.43,0.66,1.49,4.21,39.47
2013-05,52.24,2.48,0.61,1.54,3.75,39.38
2013-06,52.13,3.29,0.53,1.63,3.62,38.8
2013-07,51.54,4.45,0.4,1.68,3.12,38.81
2013-08,50.37,5.14,0.39,1.75,2.84,39.51
2013-09,50.21,5.44,0.4,1.85,2.95,39.15
2013-10,49.21,5.61,0.46,1.96,3.51,39.25
2013-11,49.9,5.15,0.36,1.96,2.84,39.79
2013-12,50.13,4.83,0.34,1.93,2.73,40.04
2014-01,52.59,3.79,0.3,1.83,2.44,39.05
2014-02,50.8,2.99,0.28,1.91,2.48,41.54
2014-03,50.91,2.1,0.31,1.86,2.88,41.94
